Date,Open,High,Low,Close,Volume
17-Jun-10,270.60,272.90,269.50,271.87,31195033
16-Jun-10,261.10,267.75,260.63,267.25,27988910
15-Jun-10,255.64,259.85,255.50,259.69,20895471
14-Jun-10,255.96,259.15,254.01,254.28,21534300
11-Jun-10,248.22,253.86,247.37,253.51,19491412
10-Jun-10,244.84,250.98,242.20,250.51,27726991
9-Jun-10,251.47,251.90,242.49,243.20,30522453
8-Jun-10,253.24,253.80,245.65,249.33,35741717
7-Jun-10,258.29,259.15,250.55,250.94,31677934
4-Jun-10,258.21,261.90,254.63,255.96,27087206
3-Jun-10,265.18,265.55,260.41,263.12,23219902
2-Jun-10,264.54,264.80,260.34,263.95,24590932
1-Jun-10,259.69,265.94,258.96,260.83,31302626
31-May-10,256.88,256.88,256.88,256.88,0
28-May-10,259.39,259.40,253.35,256.88,29129031
27-May-10,250.60,253.89,249.11,253.35,23796477
26-May-10,250.08,252.13,243.75,244.11,30380592
25-May-10,239.35,246.76,237.16,245.22,37429051
24-May-10,247.28,250.90,246.26,246.76,26937337
21-May-10,232.82,244.50,231.35,242.32,43710965
20-May-10,241.88,243.85,236.21,237.76,45818391
19-May-10,249.50,252.92,244.85,248.34,36633058
18-May-10,256.98,258.55,250.26,252.36,27952708
17-May-10,254.70,256.18,247.71,254.22,27244036
14-May-10,255.16,256.48,249.50,253.82,27120051
13-May-10,263.22,265.00,256.40,258.36,21418218
12-May-10,259.24,263.13,258.70,262.09,23312425
11-May-10,251.84,259.89,250.50,256.52,30228032
10-May-10,250.25,254.65,248.53,253.99,35153744
7-May-10,243.71,246.57,225.21,235.86,59857756
6-May-10,253.83,258.25,199.25,246.25,45923556
5-May-10,253.03,258.14,248.73,255.98,31539398
4-May-10,263.03,263.29,256.75,258.68,25850690
3-May-10,263.84,267.88,262.88,266.35,16226433
30-Apr-10,269.31,270.57,261.00,261.09,19373668
29-Apr-10,263.02,270.00,262.01,268.64,19958535
28-Apr-10,263.25,264.00,256.41,261.60,27085710
27-Apr-10,267.27,267.84,260.52,262.04,25333632
26-Apr-10,271.88,272.46,268.19,269.50,17109573
23-Apr-10,267.99,272.18,267.00,270.83,28462622
22-Apr-10,258.24,266.75,256.20,266.47,28336545
21-Apr-10,258.80,260.25,255.73,259.22,35085400
20-Apr-10,248.54,249.25,242.96,244.59,26368711
19-Apr-10,247.03,247.89,241.77,247.07,20247213
16-Apr-10,248.57,251.14,244.55,247.40,26805138
15-Apr-10,245.78,249.03,245.51,248.92,13456560
14-Apr-10,245.28,245.81,244.07,245.69,14431222
13-Apr-10,241.86,242.80,241.11,242.43,10936075
12-Apr-10,242.20,243.07,241.81,242.29,11900548
9-Apr-10,241.43,241.89,240.46,241.79,11935092
8-Apr-10,240.44,241.54,238.04,239.95,20463803
7-Apr-10,239.72,241.92,238.66,240.60,22446433
6-Apr-10,238.20,240.24,237.00,239.54,15964884
5-Apr-10,234.98,238.51,234.77,238.49,24446617
2-Apr-10,235.97,235.97,235.97,235.97,0
1-Apr-10,237.49,238.73,232.75,235.97,21540857
31-Mar-10,235.49,236.61,234.46,235.00,15380651
30-Mar-10,236.60,237.48,234.25,235.84,18832475
29-Mar-10,233.00,233.87,231.62,232.39,19312255
26-Mar-10,228.95,231.95,228.55,230.90,22888305
25-Mar-10,230.92,230.97,226.25,226.65,19402382
24-Mar-10,227.64,230.20,227.51,229.37,21367176
23-Mar-10,225.64,228.78,224.10,228.36,21515311
22-Mar-10,220.47,226.00,220.15,224.75,16300662
19-Mar-10,224.79,225.24,221.23,222.25,19980164
18-Mar-10,224.10,225.00,222.61,224.65,12218159
17-Mar-10,224.90,226.45,223.27,224.12,16105571
16-Mar-10,224.18,224.98,222.51,224.45,15960948
